lat,long
51.88,0.78
51.59,0.25
51.44,0.24
51.61,0.33
51.59,0.5
51.53,0.1
51.69,0.08
51.56,0.7
51.58,0.27
51.68,-0.06
51.57,0.45
51.6,0.15
51.66,0.11
51.54,-0.02
51.57,0.08
51.53,0.7
51.62,0.22
51.93,0.92
51.68,-0.07
51.56,0.48
51.69,-0.03
52.02,1.2
52.02,1.23
51.64,0.28
52.07,1.23
51.57,0.44
51.55,0.09
51.56,0.01
51.47,-0.16
51.54,-0.36
51.71,-0.41
51.26,-0.55
51.52,0.58
51.71,0.61
51.82,0.19
52.14,1.08
52.3,-0.09
51.61,-0.74
51.51,0.21
51.29,0.13
51.42,-0.13
51.42,-0.25
52.19,-0.9
52.27,-0.01
51.71,-0.27
51.65,0.17
52.74,-1.28
51.43,-0.06
51.53,0.45
51.6,0.48
52.02,1.07
51.78,0.1
53.74,-1.68
51.44,-0.15
52.61,-1.2
51.48,-0.06
51.65,0.33
51.43,0.27
52.3,-0.08
51.57,-0.13
51.46,-1.12
51.42,0.1
51.3,0.83
51.85,0.39
51.88,0.64
51.56,-0.15
51.42,-0.06
51.8,1.16
52.23,-0.1
52.22,0.19
51.71,0.27
51.46,-1.14
52.55,-1.94
51.68,0.09